"","X","Y","OBJECTID","LU","DESCR","Shape__Are","Shape__Len","xcoord","ycoord"
"17124",580938.25692,2856503.27835,31872,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",558.51562,109.45864,580938.25692,2856503.27835
"17159",579440.97567,2857039.50428,30374,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",778.3457,124.36808,579440.97567,2857039.50428
"17205",581053.27814,2853496.80088,32055,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",2993.08203,219.64686,581053.27814,2853496.80088
"17218",581600.19672,2857172.25183,32304,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",679.5625,112.81165,581600.19672,2857172.25183
"17328",581231.59817,2851206.63134,36097,414,"Colleges and Universities, Including Research Centers, Public and Private.",6486.95898,415.07424,581231.59817,2851206.63134
"17561",578243.51912,2855579.13067,37557,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",47647.01758,873.14395,578243.51912,2855579.13067
"17604",574345.41558,2845328.21477,39101,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",36021.11914,1050.74691,574345.41558,2845328.21477
"17678",574822.16897,2846594.1267,40216,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1249.83203,142.62974,574822.16897,2846594.1267
"17684",581605.36446,2852535.64724,40303,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",379.37891,87.90095,581605.36446,2852535.64724
"17813",580142.90775,2857356.13142,41988,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",751.97852,132.70554,580142.90775,2857356.13142
"17818",581163.38351,2856434.34069,38016,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",884.36133,124.93617,581163.38351,2856434.34069
"17839",580298.82507,2854162.14057,38339,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",7691.29297,381.88409,580298.82507,2854162.14057
"17922",579301.50508,2856525.72419,42493,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1891.14453,176.55991,579301.50508,2856525.72419
"17990",577558.97727,2846757.78596,43287,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",16060.78906,609.60461,577558.97727,2846757.78596
"18160",574669.84649,2845365.58122,45788,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",3205.97266,266.15455,574669.84649,2845365.58122
"18258",575552.78708,2847032.93085,47187,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",7780.46289,376.77375,575552.78708,2847032.93085
"18319",578588.33741,2857089.65079,48013,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",649.98047,110.7212,578588.33741,2857089.65079
"18348",580278.9146,2855986.60671,48503,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",6311.91992,361.82922,580278.9146,2855986.60671
"18354",581189.50665,2856558.07942,48576,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",511.05078,94.85284,581189.50665,2856558.07942
"18396",579951.58561,2854043.51972,49157,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",17942.29102,573.79281,579951.58561,2854043.51972
"18400",577493.00761,2846719.91815,49173,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",24091.75586,678.39051,577493.00761,2846719.91815
"18404",581492.33536,2857031.00378,49233,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1258.27734,147.46141,581492.33536,2857031.00378
"18498",578957.53049,2856358.75182,50569,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",2082.45508,192.51039,578957.53049,2856358.75182
"18518",577592.8668,2846857.98634,50863,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",2685.20117,225.65067,577592.8668,2846857.98634
"18592",580399.02313,2856888.55514,53862,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1938.76562,177.99543,580399.02313,2856888.55514
"18704",580135.47948,2857530.77657,51761,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",779.00586,123.48827,580135.47948,2857530.77657
"18711",581145.04457,2855951.34605,51828,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",79708.11719,1140.67878,581145.04457,2855951.34605
"18748",575463.29199,2846346.86318,52365,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1476.99219,151.50575,575463.29199,2846346.86318
"18822",577688.5493,2855729.2717,55432,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",2070.20703,176.90775,577688.5493,2855729.2717
"18941",578021.5,2857302.43235,57199,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",8481.86914,366.79765,578021.5,2857302.43235
"18979",577697.5019,2856800.68707,57845,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",445.9668,88.34255,577697.5019,2856800.68707
"18980",579988.35847,2852586.89611,57849,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1677.56055,164.27513,579988.35847,2852586.89611
"18984",580062.44184,2856081.76239,57888,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",801.53516,130.67321,580062.44184,2856081.76239
"19034",582547.70953,2851902.16654,58831,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",8951.86914,380.03245,582547.70953,2851902.16654
"19047",580182.73887,2855237.06774,60047,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1173.51562,134.64402,580182.73887,2855237.06774
"19114",579940.68062,2852606.28417,60994,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",8868.24414,415.19239,579940.68062,2852606.28417
"19168",581143.45112,2851319.55862,61037,414,"Colleges and Universities, Including Research Centers, Public and Private.",24598.99414,986.50741,581143.45112,2851319.55862
"19225",581185.89826,2850999.16523,61789,414,"Colleges and Universities, Including Research Centers, Public and Private.",3182.78906,267.4227,581185.89826,2850999.16523
"19305",578497.07558,2855275.03337,63035,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",2149.8125,183.49288,578497.07558,2855275.03337
"19360",581085.61553,2855082.486,63726,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",7989.60938,430.0375,581085.61553,2855082.486
"19370",579344.08899,2855698.01549,63830,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1209.19336,137.07302,579344.08899,2855698.01549
"19616",581213.23481,2857217.86961,66142,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",3313.47266,235.36597,581213.23481,2857217.86961
"19627",581638.28494,2852465.69448,66292,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",285.38477,71.26627,581638.28494,2852465.69448
"19640",578446.27858,2855587.62957,66468,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",50004.63281,891.81005,578446.27858,2855587.62957
"19672",580104.66793,2856954.72341,66889,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1049.97852,127.80721,580104.66793,2856954.72341
"19757",578687.20394,2856417.70114,68920,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1050.03516,130.06922,578687.20394,2856417.70114
"19801",579388.98259,2855783.53724,69594,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1047.09766,126.7682,579388.98259,2855783.53724
"19954",581025.57276,2853026.71829,71715,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",6916.33008,495.33785,581025.57276,2853026.71829
"20019",578408.36364,2856326.70304,72557,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1151.81055,135.7779,578408.36364,2856326.70304
"20074",581145.54085,2856433.83282,73407,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",732.57227,117.50857,581145.54085,2856433.83282
"20100",581106.47756,2853948.45191,73863,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1677.875,165.58606,581106.47756,2853948.45191
"20233",575596.58456,2844616.6538,75618,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",32856.36328,1193.34174,575596.58456,2844616.6538
"20298",579165.45753,2857510.21752,76847,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",12202.26953,471.14801,579165.45753,2857510.21752
"20324",581700.94262,2857083.56123,77175,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",4166.84961,262.57825,581700.94262,2857083.56123
"20403",580694.52978,2853963.57818,78326,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",2001.69922,191.8757,580694.52978,2853963.57818
"20411",581100.30858,2849517.52806,78393,414,"Colleges and Universities, Including Research Centers, Public and Private.",4911.17969,302.84878,581100.30858,2849517.52806
"20671",580532.37024,2853145.09745,84234,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",2185.55273,187.6138,580532.37024,2853145.09745
