"","X","Y","OBJECTID","LU","DESCR","Shape__Are","Shape__Len","xcoord","ycoord"
"7185",576849.93053,2852544.99246,9975,450,"Governmental/Public Administration (Other than Military or Penal).",5538.02734,320.72003,576849.93053,2852544.99246
"7190",576769.79263,2853379.02073,8139,450,"Governmental/Public Administration (Other than Military or Penal).",2161.02539,181.21046,576769.79263,2853379.02073
"7195",577303.36967,2854636.15072,8285,320,"Industrial Intensive, heavy-light manufacturing, and warehousing-storage type of use",991.26562,137.44889,577303.36967,2854636.15072
"7199",579508.82637,2853435.06481,8333,320,"Industrial Intensive, heavy-light manufacturing, and warehousing-storage type of use",585.11133,98.72536,579508.82637,2853435.06481
"7204",578610.6058,2851747.85388,8549,320,"Industrial Intensive, heavy-light manufacturing, and warehousing-storage type of use",17768.16406,769.99858,578610.6058,2851747.85388
"7205",579509.87798,2853094.99985,8577,320,"Industrial Intensive, heavy-light manufacturing, and warehousing-storage type of use",3241.60742,230.08682,579509.87798,2853094.99985
"7216",578319.58706,2853052.40396,8834,342,"Industrial Intensive, Office type of use",12275.46875,441.0949,578319.58706,2853052.40396
"7228",579040.96075,2852185.7165,11118,113,"Office Building.",1701.10547,193.89832,579040.96075,2852185.7165
"7247",576948.1829,2853009.58964,11655,320,"Industrial Intensive, heavy-light manufacturing, and warehousing-storage type of use",5316.91602,316.64265,576948.1829,2853009.58964
"7298",578596.66711,2851843.51622,12081,450,"Governmental/Public Administration (Other than Military or Penal).",2940.85742,287.52661,578596.66711,2851843.51622
"7301",578401.85619,2853898.08989,12136,320,"Industrial Intensive, heavy-light manufacturing, and warehousing-storage type of use",2125.17969,181.10349,578401.85619,2853898.08989
"7323",576939.72207,2853230.54566,12862,342,"Industrial Intensive, Office type of use",1563.37109,162.11266,576939.72207,2853230.54566
"7336",578480.50195,2851331.79355,13277,113,"Office Building.",1347.91797,147.73807,578480.50195,2851331.79355
"7343",578340.54852,2853385.89659,13370,320,"Industrial Intensive, heavy-light manufacturing, and warehousing-storage type of use",7986.33008,488.36695,578340.54852,2853385.89659
"7355",577196.52615,2852658.84507,13844,450,"Governmental/Public Administration (Other than Military or Penal).",802.10547,124.62918,577196.52615,2852658.84507
"7358",579009.70896,2853292.05091,13892,320,"Industrial Intensive, heavy-light manufacturing, and warehousing-storage type of use",4544.90234,291.00471,579009.70896,2853292.05091
"7364",576992.95469,2852982.50623,14078,320,"Industrial Intensive, heavy-light manufacturing, and warehousing-storage type of use",2194.27734,187.47803,576992.95469,2852982.50623
"7376",578224.88743,2853127.50764,14641,320,"Industrial Intensive, heavy-light manufacturing, and warehousing-storage type of use",1793.21289,168.10731,578224.88743,2853127.50764
"7384",579383.91832,2854001.68544,14989,113,"Office Building.",959.42578,144.73244,579383.91832,2854001.68544
"7414",575755.43798,2854819.73635,15706,339,"Industrial Extensive",591.81445,103.0697,575755.43798,2854819.73635
