"","X","Y","OBJECTID","LU","DESCR","Shape__Are","Shape__Len","xcoord","ycoord"
"24236",581054.09111,2850504.94994,126125,420,"Cultural (auditoriums, convention centers, exhibition centers, museums, art galleries, libraries).",6049.52344,319.03041,581054.09111,2850504.94994
"24353",581466.01836,2851974.94316,126953,420,"Cultural (auditoriums, convention centers, exhibition centers, museums, art galleries, libraries).",74542.24219,1325.76433,581466.01836,2851974.94316
"24846",580809.75494,2859423.27144,13343,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",3491.4707,239.56405,580809.75494,2859423.27144
"24939",580556.77278,2858766.4672,17490,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",9424.48828,463.35855,580556.77278,2858766.4672
"25001",579883.20019,2857754.48931,21565,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",1588.37305,159.69388,579883.20019,2857754.48931
"25072",580108.85979,2858557.54596,23347,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",8737.2168,424.99235,580108.85979,2858557.54596
"25196",580886.02005,2859258.60998,28898,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",951.33008,148.4712,580886.02005,2859258.60998
"25276",580784.98862,2858820.1475,32446,420,"Cultural (auditoriums, convention centers, exhibition centers, museums, art galleries, libraries).",429.38867,90.37836,580784.98862,2858820.1475
"25984",581676.38121,2858285.07787,67325,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",852.87109,136.04706,581676.38121,2858285.07787
"26019",580806.222,2859579.44354,66631,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",767.56055,122.6717,580806.222,2859579.44354
"26528",582688.94967,2858946.19497,91632,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",687.03906,108.98153,582688.94967,2858946.19497
"26784",580893.97125,2859027.91181,102570,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",2765.21289,210.44721,580893.97125,2859027.91181
"26830",580817.14844,2859220.30067,104536,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",1696.16406,167.66382,580817.14844,2859220.30067
