Date,Weekly
1,1.967643201
2,1.399212943
3,3.060778312
4,3.060778312
5,2.492348054
6,3.760384784
7,1.836466987
8,3.454306952
9,6.340183647
10,6.689986882
11,12.46174027
12,11.63095759
13,10.88762571
14,5.728027984
15,4.197638828
16,3.410581548
17,2.84215129
18,2.710975077
19,2.273721032
20,1.792741583
21,2.142544819
22,2.142544819
23,1.049409707
24,1.093135111
25,0.699606471
26,0.874508089
